Hour,Flow (Veh/Hour),# Lane Points,% Observed
2014-01-02 00:00:00,572,48,83
2014-01-02 01:00:00,352,48,100
2014-01-02 02:00:00,297,48,100
2014-01-02 03:00:00,309,48,92
2014-01-02 04:00:00,555,48,100
2014-01-02 05:00:00,1281,48,75
2014-01-02 06:00:00,2611,48,100
2014-01-02 07:00:00,3494,48,100
2014-01-02 08:00:00,3720,48,75
2014-01-02 09:00:00,3568,48,92
2014-01-02 10:00:00,3978,48,58
2014-01-02 11:00:00,4269,48,92
2014-01-02 12:00:00,4468,48,92
2014-01-02 13:00:00,4707,48,100
2014-01-02 14:00:00,5362,48,100
2014-01-02 15:00:00,6252,48,100
2014-01-02 16:00:00,6089,48,100
2014-01-02 17:00:00,5872,48,100
2014-01-02 18:00:00,4252,48,100
2014-01-02 19:00:00,3096,48,100
2014-01-02 20:00:00,2399,48,100
2014-01-02 21:00:00,2154,48,100
2014-01-02 22:00:00,1658,48,100
2014-01-02 23:00:00,1113,48,100
2014-01-03 00:00:00,650,48,100
2014-01-03 01:00:00,424,48,100
2014-01-03 02:00:00,352,48,100
2014-01-03 03:00:00,343,48,100
2014-01-03 04:00:00,581,48,100
2014-01-03 05:00:00,1249,48,100
2014-01-03 06:00:00,2601,48,100
2014-01-03 07:00:00,3519,48,100
2014-01-03 08:00:00,3621,48,100
2014-01-03 09:00:00,3732,48,100
2014-01-03 10:00:00,4064,48,100
2014-01-03 11:00:00,4659,48,83
2014-01-03 12:00:00,4910,48,100
2014-01-03 13:00:00,5175,48,100
2014-01-03 14:00:00,5980,48,100
2014-01-03 15:00:00,6495,48,100
2014-01-03 16:00:00,6455,48,100
2014-01-03 17:00:00,6070,48,100
2014-01-03 18:00:00,4576,48,100
2014-01-03 19:00:00,3453,48,100
2014-01-03 20:00:00,2790,48,100
2014-01-03 21:00:00,2404,48,100
2014-01-03 22:00:00,1977,48,100
2014-01-03 23:00:00,1452,48,100
2014-01-06 00:00:00,537,48,100
2014-01-06 01:00:00,383,48,100
2014-01-06 02:00:00,309,48,100
2014-01-06 03:00:00,359,48,100
2014-01-06 04:00:00,664,48,100
2014-01-06 05:00:00,1534,48,100
2014-01-06 06:00:00,2919,48,100
2014-01-06 07:00:00,4259,48,100
2014-01-06 08:00:00,3884,48,100
2014-01-06 09:00:00,3471,48,100
2014-01-06 10:00:00,3518,48,100
2014-01-06 11:00:00,3797,48,100
2014-01-06 12:00:00,4252,48,100
2014-01-06 13:00:00,4404,48,100
2014-01-06 14:00:00,5362,48,100
2014-01-06 15:00:00,6542,48,100
2014-01-06 16:00:00,6368,48,100
2014-01-06 17:00:00,6058,48,100
2014-01-06 18:00:00,4566,48,100
2014-01-06 19:00:00,2924,48,100
2014-01-06 20:00:00,2338,48,100
2014-01-06 21:00:00,1838,48,100
2014-01-06 22:00:00,1511,48,100
2014-01-06 23:00:00,975,48,100
2014-01-07 00:00:00,607,48,100
2014-01-07 01:00:00,347,48,100
2014-01-07 02:00:00,260,48,100
2014-01-07 03:00:00,317,48,100
2014-01-07 04:00:00,627,48,100
2014-01-07 05:00:00,1424,48,100
2014-01-07 06:00:00,2955,48,100
2014-01-07 07:00:00,4124,48,100
2014-01-07 08:00:00,3945,48,100
2014-01-07 09:00:00,3630,48,100
2014-01-07 10:00:00,3561,48,100
2014-01-07 11:00:00,3850,48,100
2014-01-07 12:00:00,4204,48,100
2014-01-07 13:00:00,4505,48,100
2014-01-07 14:00:00,5423,48,100
2014-01-07 15:00:00,6754,48,100
2014-01-07 16:00:00,6717,48,100
2014-01-07 17:00:00,6224,48,100
2014-01-07 18:00:00,4662,48,100
2014-01-07 19:00:00,3191,48,100
2014-01-07 20:00:00,2515,48,100
2014-01-07 21:00:00,2027,48,100
2014-01-07 22:00:00,1539,48,100
2014-01-07 23:00:00,1001,48,100
2014-01-08 00:00:00,614,48,100
2014-01-08 01:00:00,367,48,100
2014-01-08 02:00:00,313,48,100
2014-01-08 03:00:00,332,48,100
2014-01-08 04:00:00,614,48,100
2014-01-08 05:00:00,1433,48,100
2014-01-08 06:00:00,2980,48,100
2014-01-08 07:00:00,4127,48,100
2014-01-08 08:00:00,3949,48,100
2014-01-08 09:00:00,3590,48,100
2014-01-08 10:00:00,3452,48,100
2014-01-08 11:00:00,4004,48,100
2014-01-08 12:00:00,4323,48,100
2014-01-08 13:00:00,4527,48,100
2014-01-08 14:00:00,5556,48,100
2014-01-08 15:00:00,6502,48,100
2014-01-08 16:00:00,6532,48,100
2014-01-08 17:00:00,6223,48,100
2014-01-08 18:00:00,4832,48,100
2014-01-08 19:00:00,3152,48,100
2014-01-08 20:00:00,2669,48,100
2014-01-08 21:00:00,2181,48,100
2014-01-08 22:00:00,1860,48,100
2014-01-08 23:00:00,1045,48,100
2014-01-09 00:00:00,636,48,100
2014-01-09 01:00:00,347,48,100
2014-01-09 02:00:00,296,48,100
2014-01-09 03:00:00,325,48,100
2014-01-09 04:00:00,639,48,100
2014-01-09 05:00:00,1477,48,100
2014-01-09 06:00:00,2706,48,100
2014-01-09 07:00:00,4078,48,83
