,Hour,Flow (Veh/Hour),# Lane Points,% Observed
0,2014-01-02 00:00:00,572,48,83
1,2014-01-02 01:00:00,352,48,100
2,2014-01-02 02:00:00,297,48,100
3,2014-01-02 03:00:00,309,48,92
4,2014-01-02 04:00:00,555,48,100
5,2014-01-02 05:00:00,1281,48,75
6,2014-01-02 06:00:00,2611,48,100
7,2014-01-02 07:00:00,3494,48,100
8,2014-01-02 08:00:00,3720,48,75
9,2014-01-02 09:00:00,3568,48,92
10,2014-01-02 10:00:00,3978,48,58
11,2014-01-02 11:00:00,4269,48,92
12,2014-01-02 12:00:00,4468,48,92
13,2014-01-02 13:00:00,4707,48,100
14,2014-01-02 14:00:00,5362,48,100
15,2014-01-02 15:00:00,6252,48,100
16,2014-01-02 16:00:00,6089,48,100
17,2014-01-02 17:00:00,5872,48,100
18,2014-01-02 18:00:00,4252,48,100
19,2014-01-02 19:00:00,3096,48,100
20,2014-01-02 20:00:00,2399,48,100
21,2014-01-02 21:00:00,2154,48,100
22,2014-01-02 22:00:00,1658,48,100
23,2014-01-02 23:00:00,1113,48,100
24,2014-01-03 00:00:00,650,48,100
25,2014-01-03 01:00:00,424,48,100
26,2014-01-03 02:00:00,352,48,100
27,2014-01-03 03:00:00,343,48,100
28,2014-01-03 04:00:00,581,48,100
29,2014-01-03 05:00:00,1249,48,100
30,2014-01-03 06:00:00,2601,48,100
31,2014-01-03 07:00:00,3519,48,100
32,2014-01-03 08:00:00,3621,48,100
33,2014-01-03 09:00:00,3732,48,100
34,2014-01-03 10:00:00,4064,48,100
35,2014-01-03 11:00:00,4659,48,83
36,2014-01-03 12:00:00,4910,48,100
37,2014-01-03 13:00:00,5175,48,100
38,2014-01-03 14:00:00,5980,48,100
39,2014-01-03 15:00:00,6495,48,100
40,2014-01-03 16:00:00,6455,48,100
41,2014-01-03 17:00:00,6070,48,100
42,2014-01-03 18:00:00,4576,48,100
43,2014-01-03 19:00:00,3453,48,100
44,2014-01-03 20:00:00,2790,48,100
45,2014-01-03 21:00:00,2404,48,100
46,2014-01-03 22:00:00,1977,48,100
47,2014-01-03 23:00:00,1452,48,100
48,2014-01-06 00:00:00,537,48,100
49,2014-01-06 01:00:00,383,48,100
50,2014-01-06 02:00:00,309,48,100
51,2014-01-06 03:00:00,359,48,100
52,2014-01-06 04:00:00,664,48,100
53,2014-01-06 05:00:00,1534,48,100
54,2014-01-06 06:00:00,2919,48,100
55,2014-01-06 07:00:00,4259,48,100
56,2014-01-06 08:00:00,3884,48,100
57,2014-01-06 09:00:00,3471,48,100
58,2014-01-06 10:00:00,3518,48,100
59,2014-01-06 11:00:00,3797,48,100
60,2014-01-06 12:00:00,4252,48,100
61,2014-01-06 13:00:00,4404,48,100
62,2014-01-06 14:00:00,5362,48,100
63,2014-01-06 15:00:00,6542,48,100
64,2014-01-06 16:00:00,6368,48,100
65,2014-01-06 17:00:00,6058,48,100
66,2014-01-06 18:00:00,4566,48,100
67,2014-01-06 19:00:00,2924,48,100
68,2014-01-06 20:00:00,2338,48,100
69,2014-01-06 21:00:00,1838,48,100
